ilat	ilon	d	mrad
0	1	2014-10-28	43.95163258833274
0	2	2014-11-21	44.577127306532155
0	2	2015-01-10	42.14483326005181
2	0	2014-10-25	41.171866720036945
2	0	2014-11-03	44.980793587955425
2	2	2014-05-24	50.733213617476444
2	2	2014-09-01	49.384407182116
0	0	2014-10-05	44.17875509551077
0	2	2014-05-21	48.08675818487045
1	0	2014-08-12	47.19138365473335
1	2	2014-10-31	43.41068344129288
2	1	2014-07-11	51.2727976788934
2	2	2014-09-18	48.711755515851955
0	2	2014-12-07	44.10440093374474
1	0	2014-07-06	47.08585525715668
2	1	2014-06-23	52.44889539071522
2	2	2015-02-04	46.00176390615534
0	1	2014-08-12	46.24156264522263
1	1	2014-05-09	46.516674044479856
1	2	2014-09-03	48.34235771005239
2	1	2014-05-24	51.316439378000524
0	1	2014-07-25	45.182926246254866
1	1	2014-06-21	48.42787786938542
2	1	2014-08-24	48.03085510661713
2	1	2014-09-13	50.36156777723617
0	0	2014-08-08	46.86645502726237
1	0	2015-01-22	45.769015884399415
1	2	2014-07-12	49.10300070493555
2	0	2014-02-01	43.655308971197044
2	2	2014-07-26	51.278210648246436
2	0	2014-08-06	49.924275279045105
2	2	2015-01-04	46.702597169794586
2	0	2014-05-08	50.71656621353116
2	0	2014-12-29	45.5020032679156
0	0	2014-04-03	44.75214446269647
0	0	2014-04-21	45.353633922054314
1	0	2014-02-21	46.690599167183656
1	1	2014-04-06	48.191513431359816
1	1	2014-09-30	44.38445370283068
1	1	2014-11-12	43.8128931156987
2	1	2014-03-10	47.15061219159295
0	1	2014-09-21	43.87387246955809
1	2	2014-04-19	47.643723508144944
2	0	2014-02-13	48.07994980647646
2	2	2014-10-03	47.79285266792985
0	1	2014-10-14	44.17282173428388
1	1	2014-07-12	47.19369994712764
2	0	2014-01-31	43.74841691601661
2	1	2014-07-26	48.63674173225351
2	1	2014-07-27	52.47175557319808
0	2	2014-03-07	43.370153940072775
1	0	2014-12-04	41.59256876065237
1	1	2015-01-03	42.3865463452217
1	2	2014-08-22	47.261385862960765
